,referer,receiver,shared_Count,Unique_Beneficiaries,Number_Same_Day_Visits,Type_referer,State_referer,Type_receiver,State_receiver,Taxonomy_Code,Grouping,Classification,Specialization
11,1083956551,1649494980,220,128,49,2.0,CO,1.0,CO,2081H0002X,Allopathic & Osteopathic Physicians,Physical Medicine & Rehabilitation,Hospice and Palliative Medicine
12,1093846370,1649494980,55,22,2,1.0,CO,1.0,CO,2081H0002X,Allopathic & Osteopathic Physicians,Physical Medicine & Rehabilitation,Hospice and Palliative Medicine
13,1104938208,1649494980,39,11,1,1.0,CO,1.0,CO,2081H0002X,Allopathic & Osteopathic Physicians,Physical Medicine & Rehabilitation,Hospice and Palliative Medicine
14,1114944030,1649494980,39,14,0,1.0,CO,1.0,CO,2081H0002X,Allopathic & Osteopathic Physicians,Physical Medicine & Rehabilitation,Hospice and Palliative Medicine
15,1114995024,1649494980,80,15,6,1.0,CO,1.0,CO,2081H0002X,Allopathic & Osteopathic Physicians,Physical Medicine & Rehabilitation,Hospice and Palliative Medicine
16,1134104227,1649494980,55,18,0,1.0,CO,1.0,CO,2081H0002X,Allopathic & Osteopathic Physicians,Physical Medicine & Rehabilitation,Hospice and Palliative Medicine
17,1134135346,1649494980,71,23,0,1.0,CO,1.0,CO,2081H0002X,Allopathic & Osteopathic Physicians,Physical Medicine & Rehabilitation,Hospice and Palliative Medicine
18,1134146053,1649494980,53,15,1,1.0,CO,1.0,CO,2081H0002X,Allopathic & Osteopathic Physicians,Physical Medicine & Rehabilitation,Hospice and Palliative Medicine
19,1134173610,1649494980,51,24,0,1.0,CO,1.0,CO,2081H0002X,Allopathic & Osteopathic Physicians,Physical Medicine & Rehabilitation,Hospice and Palliative Medicine
20,1134398365,1649494980,40,22,0,1.0,CO,1.0,CO,2081H0002X,Allopathic & Osteopathic Physicians,Physical Medicine & Rehabilitation,Hospice and Palliative Medicine
21,1144294752,1649494980,266,86,2,1.0,CO,1.0,CO,2081H0002X,Allopathic & Osteopathic Physicians,Physical Medicine & Rehabilitation,Hospice and Palliative Medicine
22,1144307547,1649494980,74,31,6,1.0,CO,1.0,CO,2081H0002X,Allopathic & Osteopathic Physicians,Physical Medicine & Rehabilitation,Hospice and Palliative Medicine
23,1154564912,1649494980,73,12,3,1.0,CO,1.0,CO,2081H0002X,Allopathic & Osteopathic Physicians,Physical Medicine & Rehabilitation,Hospice and Palliative Medicine
24,1154572113,1649494980,30,12,0,1.0,CO,1.0,CO,2081H0002X,Allopathic & Osteopathic Physicians,Physical Medicine & Rehabilitation,Hospice and Palliative Medicine
25,1164422473,1649494980,31,12,0,1.0,CO,1.0,CO,2081H0002X,Allopathic & Osteopathic Physicians,Physical Medicine & Rehabilitation,Hospice and Palliative Medicine
26,1164484564,1649494980,164,32,9,1.0,CO,1.0,CO,2081H0002X,Allopathic & Osteopathic Physicians,Physical Medicine & Rehabilitation,Hospice and Palliative Medicine
27,1194731455,1649494980,36,17,0,1.0,CO,1.0,CO,2081H0002X,Allopathic & Osteopathic Physicians,Physical Medicine & Rehabilitation,Hospice and Palliative Medicine
28,1205813045,1649494980,48,16,0,1.0,CO,1.0,CO,2081H0002X,Allopathic & Osteopathic Physicians,Physical Medicine & Rehabilitation,Hospice and Palliative Medicine
29,1215019609,1649494980,177,43,1,1.0,MN,1.0,CO,2081H0002X,Allopathic & Osteopathic Physicians,Physical Medicine & Rehabilitation,Hospice and Palliative Medicine
30,1225046006,1649494980,256,104,96,2.0,CO,1.0,CO,2081H0002X,Allopathic & Osteopathic Physicians,Physical Medicine & Rehabilitation,Hospice and Palliative Medicine
31,1225158157,1649494980,38,17,1,1.0,CO,1.0,CO,2081H0002X,Allopathic & Osteopathic Physicians,Physical Medicine & Rehabilitation,Hospice and Palliative Medicine
32,1235132978,1649494980,387,44,2,1.0,CO,1.0,CO,2081H0002X,Allopathic & Osteopathic Physicians,Physical Medicine & Rehabilitation,Hospice and Palliative Medicine
33,1235305327,1649494980,29,11,0,1.0,OH,1.0,CO,2081H0002X,Allopathic & Osteopathic Physicians,Physical Medicine & Rehabilitation,Hospice and Palliative Medicine
34,1235354796,1649494980,142,28,8,1.0,CO,1.0,CO,2081H0002X,Allopathic & Osteopathic Physicians,Physical Medicine & Rehabilitation,Hospice and Palliative Medicine
35,1255385654,1649494980,23,11,0,1.0,CO,1.0,CO,2081H0002X,Allopathic & Osteopathic Physicians,Physical Medicine & Rehabilitation,Hospice and Palliative Medicine
36,1255444816,1649494980,47,14,0,1.0,CO,1.0,CO,2081H0002X,Allopathic & Osteopathic Physicians,Physical Medicine & Rehabilitation,Hospice and Palliative Medicine
37,1275519084,1649494980,79,28,1,1.0,CO,1.0,CO,2081H0002X,Allopathic & Osteopathic Physicians,Physical Medicine & Rehabilitation,Hospice and Palliative Medicine
38,1275594061,1649494980,55,20,3,1.0,CO,1.0,CO,2081H0002X,Allopathic & Osteopathic Physicians,Physical Medicine & Rehabilitation,Hospice and Palliative Medicine
39,1285076661,1649494980,97,11,0,1.0,CO,1.0,CO,2081H0002X,Allopathic & Osteopathic Physicians,Physical Medicine & Rehabilitation,Hospice and Palliative Medicine
40,1316951759,1649494980,48,19,0,1.0,CO,1.0,CO,2081H0002X,Allopathic & Osteopathic Physicians,Physical Medicine & Rehabilitation,Hospice and Palliative Medicine
41,1316987761,1649494980,50,18,1,1.0,CO,1.0,CO,2081H0002X,Allopathic & Osteopathic Physicians,Physical Medicine & Rehabilitation,Hospice and Palliative Medicine
42,1336124825,1649494980,22,13,0,1.0,CO,1.0,CO,2081H0002X,Allopathic & Osteopathic Physicians,Physical Medicine & Rehabilitation,Hospice and Palliative Medicine
43,1336231273,1649494980,61,14,0,1.0,CO,1.0,CO,2081H0002X,Allopathic & Osteopathic Physicians,Physical Medicine & Rehabilitation,Hospice and Palliative Medicine
44,1346256658,1649494980,19,12,0,1.0,CO,1.0,CO,2081H0002X,Allopathic & Osteopathic Physicians,Physical Medicine & Rehabilitation,Hospice and Palliative Medicine
45,1346294733,1649494980,110,44,0,1.0,CO,1.0,CO,2081H0002X,Allopathic & Osteopathic Physicians,Physical Medicine & Rehabilitation,Hospice and Palliative Medicine
46,1366461113,1649494980,96,28,0,1.0,CO,1.0,CO,2081H0002X,Allopathic & Osteopathic Physicians,Physical Medicine & Rehabilitation,Hospice and Palliative Medicine
47,1366609653,1649494980,127,51,4,1.0,CO,1.0,CO,2081H0002X,Allopathic & Osteopathic Physicians,Physical Medicine & Rehabilitation,Hospice and Palliative Medicine
48,1386651297,1649494980,57,22,2,2.0,CO,1.0,CO,2081H0002X,Allopathic & Osteopathic Physicians,Physical Medicine & Rehabilitation,Hospice and Palliative Medicine
49,1386746949,1649494980,30,14,2,1.0,CO,1.0,CO,2081H0002X,Allopathic & Osteopathic Physicians,Physical Medicine & Rehabilitation,Hospice and Palliative Medicine
50,1396764676,1649494980,33,15,1,1.0,CO,1.0,CO,2081H0002X,Allopathic & Osteopathic Physicians,Physical Medicine & Rehabilitation,Hospice and Palliative Medicine
51,1396781134,1649494980,86,29,2,2.0,CO,1.0,CO,2081H0002X,Allopathic & Osteopathic Physicians,Physical Medicine & Rehabilitation,Hospice and Palliative Medicine
52,1396790200,1649494980,26,11,0,2.0,CO,1.0,CO,2081H0002X,Allopathic & Osteopathic Physicians,Physical Medicine & Rehabilitation,Hospice and Palliative Medicine
53,1407819139,1649494980,90,17,4,1.0,CO,1.0,CO,2081H0002X,Allopathic & Osteopathic Physicians,Physical Medicine & Rehabilitation,Hospice and Palliative Medicine
54,1407836729,1649494980,22,15,1,1.0,CO,1.0,CO,2081H0002X,Allopathic & Osteopathic Physicians,Physical Medicine & Rehabilitation,Hospice and Palliative Medicine
55,1417159641,1649494980,229,22,11,1.0,CO,1.0,CO,2081H0002X,Allopathic & Osteopathic Physicians,Physical Medicine & Rehabilitation,Hospice and Palliative Medicine
56,1417925710,1649494980,22,11,0,1.0,CO,1.0,CO,2081H0002X,Allopathic & Osteopathic Physicians,Physical Medicine & Rehabilitation,Hospice and Palliative Medicine
57,1427019215,1649494980,245,36,6,1.0,CO,1.0,CO,2081H0002X,Allopathic & Osteopathic Physicians,Physical Medicine & Rehabilitation,Hospice and Palliative Medicine
58,1437165784,1649494980,29,16,1,1.0,CO,1.0,CO,2081H0002X,Allopathic & Osteopathic Physicians,Physical Medicine & Rehabilitation,Hospice and Palliative Medicine
59,1437263803,1649494980,20,11,0,1.0,CO,1.0,CO,2081H0002X,Allopathic & Osteopathic Physicians,Physical Medicine & Rehabilitation,Hospice and Palliative Medicine
60,1467465146,1649494980,31,11,2,1.0,CO,1.0,CO,2081H0002X,Allopathic & Osteopathic Physicians,Physical Medicine & Rehabilitation,Hospice and Palliative Medicine
61,1467545137,1649494980,824,149,47,1.0,CO,1.0,CO,2081H0002X,Allopathic & Osteopathic Physicians,Physical Medicine & Rehabilitation,Hospice and Palliative Medicine
62,1467616920,1649494980,134,29,7,1.0,CO,1.0,CO,2081H0002X,Allopathic & Osteopathic Physicians,Physical Medicine & Rehabilitation,Hospice and Palliative Medicine
63,1477647261,1649494980,200,34,12,1.0,CO,1.0,CO,2081H0002X,Allopathic & Osteopathic Physicians,Physical Medicine & Rehabilitation,Hospice and Palliative Medicine
64,1518132521,1649494980,21,13,0,1.0,CO,1.0,CO,2081H0002X,Allopathic & Osteopathic Physicians,Physical Medicine & Rehabilitation,Hospice and Palliative Medicine
65,1528044781,1649494980,104,43,2,1.0,CO,1.0,CO,2081H0002X,Allopathic & Osteopathic Physicians,Physical Medicine & Rehabilitation,Hospice and Palliative Medicine
66,1538113923,1649494980,69,27,3,1.0,CO,1.0,CO,2081H0002X,Allopathic & Osteopathic Physicians,Physical Medicine & Rehabilitation,Hospice and Palliative Medicine
67,1548236714,1649494980,89,12,6,1.0,CO,1.0,CO,2081H0002X,Allopathic & Osteopathic Physicians,Physical Medicine & Rehabilitation,Hospice and Palliative Medicine
68,1558317255,1649494980,18,11,0,1.0,CO,1.0,CO,2081H0002X,Allopathic & Osteopathic Physicians,Physical Medicine & Rehabilitation,Hospice and Palliative Medicine
69,1558335273,1649494980,28,11,0,1.0,CO,1.0,CO,2081H0002X,Allopathic & Osteopathic Physicians,Physical Medicine & Rehabilitation,Hospice and Palliative Medicine
70,1558446104,1649494980,53,13,0,1.0,CO,1.0,CO,2081H0002X,Allopathic & Osteopathic Physicians,Physical Medicine & Rehabilitation,Hospice and Palliative Medicine
71,1568450674,1649494980,42,15,0,1.0,CO,1.0,CO,2081H0002X,Allopathic & Osteopathic Physicians,Physical Medicine & Rehabilitation,Hospice and Palliative Medicine
72,1568563278,1649494980,55,18,0,2.0,CO,1.0,CO,2081H0002X,Allopathic & Osteopathic Physicians,Physical Medicine & Rehabilitation,Hospice and Palliative Medicine
73,1568583086,1649494980,275,34,15,1.0,CO,1.0,CO,2081H0002X,Allopathic & Osteopathic Physicians,Physical Medicine & Rehabilitation,Hospice and Palliative Medicine
74,1578537890,1649494980,33,16,0,1.0,CO,1.0,CO,2081H0002X,Allopathic & Osteopathic Physicians,Physical Medicine & Rehabilitation,Hospice and Palliative Medicine
75,1578671731,1649494980,42,20,1,1.0,CO,1.0,CO,2081H0002X,Allopathic & Osteopathic Physicians,Physical Medicine & Rehabilitation,Hospice and Palliative Medicine
76,1588872303,1649494980,44,18,2,1.0,CO,1.0,CO,2081H0002X,Allopathic & Osteopathic Physicians,Physical Medicine & Rehabilitation,Hospice and Palliative Medicine
77,1598738031,1649494980,197,18,15,1.0,CO,1.0,CO,2081H0002X,Allopathic & Osteopathic Physicians,Physical Medicine & Rehabilitation,Hospice and Palliative Medicine
78,1598747651,1649494980,37,17,0,2.0,CO,1.0,CO,2081H0002X,Allopathic & Osteopathic Physicians,Physical Medicine & Rehabilitation,Hospice and Palliative Medicine
79,1598968109,1649494980,95,27,4,1.0,CO,1.0,CO,2081H0002X,Allopathic & Osteopathic Physicians,Physical Medicine & Rehabilitation,Hospice and Palliative Medicine
80,1619953866,1649494980,107,42,1,1.0,CO,1.0,CO,2081H0002X,Allopathic & Osteopathic Physicians,Physical Medicine & Rehabilitation,Hospice and Palliative Medicine
81,1639156417,1649494980,60,18,0,1.0,CO,1.0,CO,2081H0002X,Allopathic & Osteopathic Physicians,Physical Medicine & Rehabilitation,Hospice and Palliative Medicine
82,1649306390,1649494980,45,20,1,1.0,CO,1.0,CO,2081H0002X,Allopathic & Osteopathic Physicians,Physical Medicine & Rehabilitation,Hospice and Palliative Medicine
83,1679524904,1649494980,21,12,0,1.0,CO,1.0,CO,2081H0002X,Allopathic & Osteopathic Physicians,Physical Medicine & Rehabilitation,Hospice and Palliative Medicine
84,1679656219,1649494980,77,29,0,1.0,CO,1.0,CO,2081H0002X,Allopathic & Osteopathic Physicians,Physical Medicine & Rehabilitation,Hospice and Palliative Medicine
85,1679738561,1649494980,103,16,0,1.0,CO,1.0,CO,2081H0002X,Allopathic & Osteopathic Physicians,Physical Medicine & Rehabilitation,Hospice and Palliative Medicine
86,1689688988,1649494980,185,93,0,2.0,CO,1.0,CO,2081H0002X,Allopathic & Osteopathic Physicians,Physical Medicine & Rehabilitation,Hospice and Palliative Medicine
87,1689780413,1649494980,30,15,0,2.0,CO,1.0,CO,2081H0002X,Allopathic & Osteopathic Physicians,Physical Medicine & Rehabilitation,Hospice and Palliative Medicine
88,1699952119,1649494980,165,14,0,1.0,CO,1.0,CO,2081H0002X,Allopathic & Osteopathic Physicians,Physical Medicine & Rehabilitation,Hospice and Palliative Medicine
89,1720064629,1649494980,73,32,0,1.0,CO,1.0,CO,2081H0002X,Allopathic & Osteopathic Physicians,Physical Medicine & Rehabilitation,Hospice and Palliative Medicine
90,1730129859,1649494980,133,40,0,1.0,CO,1.0,CO,2081H0002X,Allopathic & Osteopathic Physicians,Physical Medicine & Rehabilitation,Hospice and Palliative Medicine
91,1730155490,1649494980,130,17,0,1.0,CO,1.0,CO,2081H0002X,Allopathic & Osteopathic Physicians,Physical Medicine & Rehabilitation,Hospice and Palliative Medicine
92,1750354205,1649494980,113,18,0,1.0,CO,1.0,CO,2081H0002X,Allopathic & Osteopathic Physicians,Physical Medicine & Rehabilitation,Hospice and Palliative Medicine
93,1750437372,1649494980,69,11,0,1.0,CO,1.0,CO,2081H0002X,Allopathic & Osteopathic Physicians,Physical Medicine & Rehabilitation,Hospice and Palliative Medicine
94,1770571036,1649494980,25,12,0,1.0,CO,1.0,CO,2081H0002X,Allopathic & Osteopathic Physicians,Physical Medicine & Rehabilitation,Hospice and Palliative Medicine
95,1770619256,1649494980,60,14,0,1.0,CO,1.0,CO,2081H0002X,Allopathic & Osteopathic Physicians,Physical Medicine & Rehabilitation,Hospice and Palliative Medicine
96,1780610543,1649494980,28,14,0,1.0,CO,1.0,CO,2081H0002X,Allopathic & Osteopathic Physicians,Physical Medicine & Rehabilitation,Hospice and Palliative Medicine
97,1790857340,1649494980,85,21,0,1.0,CO,1.0,CO,2081H0002X,Allopathic & Osteopathic Physicians,Physical Medicine & Rehabilitation,Hospice and Palliative Medicine
98,1801800594,1649494980,277,85,0,2.0,CO,1.0,CO,2081H0002X,Allopathic & Osteopathic Physicians,Physical Medicine & Rehabilitation,Hospice and Palliative Medicine
99,1801868401,1649494980,126,27,0,1.0,CO,1.0,CO,2081H0002X,Allopathic & Osteopathic Physicians,Physical Medicine & Rehabilitation,Hospice and Palliative Medicine
100,1821095811,1649494980,57,12,0,1.0,CO,1.0,CO,2081H0002X,Allopathic & Osteopathic Physicians,Physical Medicine & Rehabilitation,Hospice and Palliative Medicine
101,1831146497,1649494980,39,19,0,2.0,CO,1.0,CO,2081H0002X,Allopathic & Osteopathic Physicians,Physical Medicine & Rehabilitation,Hospice and Palliative Medicine
102,1831383173,1649494980,33,14,0,1.0,CO,1.0,CO,2081H0002X,Allopathic & Osteopathic Physicians,Physical Medicine & Rehabilitation,Hospice and Palliative Medicine
103,1841380425,1649494980,102,12,0,1.0,CO,1.0,CO,2081H0002X,Allopathic & Osteopathic Physicians,Physical Medicine & Rehabilitation,Hospice and Palliative Medicine
104,1861401150,1649494980,264,17,0,1.0,CO,1.0,CO,2081H0002X,Allopathic & Osteopathic Physicians,Physical Medicine & Rehabilitation,Hospice and Palliative Medicine
105,1861453789,1649494980,44,21,0,1.0,CO,1.0,CO,2081H0002X,Allopathic & Osteopathic Physicians,Physical Medicine & Rehabilitation,Hospice and Palliative Medicine
106,1871579011,1649494980,32,14,0,1.0,CO,1.0,CO,2081H0002X,Allopathic & Osteopathic Physicians,Physical Medicine & Rehabilitation,Hospice and Palliative Medicine
107,1871581983,1649494980,88,21,0,1.0,CO,1.0,CO,2081H0002X,Allopathic & Osteopathic Physicians,Physical Medicine & Rehabilitation,Hospice and Palliative Medicine
108,1902072143,1649494980,37,13,0,1.0,CO,1.0,CO,2081H0002X,Allopathic & Osteopathic Physicians,Physical Medicine & Rehabilitation,Hospice and Palliative Medicine
109,1912249590,1649494980,33,18,0,2.0,CO,1.0,CO,2081H0002X,Allopathic & Osteopathic Physicians,Physical Medicine & Rehabilitation,Hospice and Palliative Medicine
110,1922083401,1649494980,78,31,0,1.0,CO,1.0,CO,2081H0002X,Allopathic & Osteopathic Physicians,Physical Medicine & Rehabilitation,Hospice and Palliative Medicine
111,1932112125,1649494980,22,13,0,2.0,CO,1.0,CO,2081H0002X,Allopathic & Osteopathic Physicians,Physical Medicine & Rehabilitation,Hospice and Palliative Medicine
112,1932162070,1649494980,106,12,0,1.0,CO,1.0,CO,2081H0002X,Allopathic & Osteopathic Physicians,Physical Medicine & Rehabilitation,Hospice and Palliative Medicine
113,1932199536,1649494980,65,15,0,1.0,CO,1.0,CO,2081H0002X,Allopathic & Osteopathic Physicians,Physical Medicine & Rehabilitation,Hospice and Palliative Medicine
114,1952362154,1649494980,416,22,0,1.0,CO,1.0,CO,2081H0002X,Allopathic & Osteopathic Physicians,Physical Medicine & Rehabilitation,Hospice and Palliative Medicine
115,1952553687,1649494980,170,18,0,1.0,CO,1.0,CO,2081H0002X,Allopathic & Osteopathic Physicians,Physical Medicine & Rehabilitation,Hospice and Palliative Medicine
116,1962506519,1649494980,56,29,0,2.0,CO,1.0,CO,2081H0002X,Allopathic & Osteopathic Physicians,Physical Medicine & Rehabilitation,Hospice and Palliative Medicine
117,1982850111,1649494980,47,19,0,1.0,CO,1.0,CO,2081H0002X,Allopathic & Osteopathic Physicians,Physical Medicine & Rehabilitation,Hospice and Palliative Medicine
118,1982877767,1649494980,52,15,0,1.0,CO,1.0,CO,2081H0002X,Allopathic & Osteopathic Physicians,Physical Medicine & Rehabilitation,Hospice and Palliative Medicine
119,1992759336,1649494980,44,17,0,1.0,CO,1.0,CO,2081H0002X,Allopathic & Osteopathic Physicians,Physical Medicine & Rehabilitation,Hospice and Palliative Medicine
120,1992926281,1649494980,52,13,0,1.0,CO,1.0,CO,2081H0002X,Allopathic & Osteopathic Physicians,Physical Medicine & Rehabilitation,Hospice and Palliative Medicine
121,1003004847,1770506446,22,11,2,2.0,CT,1.0,FL,207RH0002X,Allopathic & Osteopathic Physicians,Internal Medicine,Hospice and Palliative Medicine
122,1003897687,1770506446,312,72,57,1.0,CT,1.0,FL,207RH0002X,Allopathic & Osteopathic Physicians,Internal Medicine,Hospice and Palliative Medicine
123,1023064821,1770506446,207,30,30,1.0,CT,1.0,FL,207RH0002X,Allopathic & Osteopathic Physicians,Internal Medicine,Hospice and Palliative Medicine
124,1023081858,1770506446,62,17,15,1.0,CT,1.0,FL,207RH0002X,Allopathic & Osteopathic Physicians,Internal Medicine,Hospice and Palliative Medicine
125,1033295134,1770506446,330,89,56,1.0,CT,1.0,FL,207RH0002X,Allopathic & Osteopathic Physicians,Internal Medicine,Hospice and Palliative Medicine
126,1033498027,1770506446,81,23,9,2.0,CT,1.0,FL,207RH0002X,Allopathic & Osteopathic Physicians,Internal Medicine,Hospice and Palliative Medicine
127,1043243538,1770506446,118,37,23,2.0,CT,1.0,FL,207RH0002X,Allopathic & Osteopathic Physicians,Internal Medicine,Hospice and Palliative Medicine
128,1053331207,1770506446,106,27,14,1.0,CT,1.0,FL,207RH0002X,Allopathic & Osteopathic Physicians,Internal Medicine,Hospice and Palliative Medicine
129,1053358234,1770506446,450,63,15,1.0,CT,1.0,FL,207RH0002X,Allopathic & Osteopathic Physicians,Internal Medicine,Hospice and Palliative Medicine
130,1073587820,1770506446,334,86,41,1.0,CT,1.0,FL,207RH0002X,Allopathic & Osteopathic Physicians,Internal Medicine,Hospice and Palliative Medicine
131,1083840409,1770506446,257,41,13,1.0,NY,1.0,FL,207RH0002X,Allopathic & Osteopathic Physicians,Internal Medicine,Hospice and Palliative Medicine
132,1104811132,1770506446,245,13,14,1.0,CT,1.0,FL,207RH0002X,Allopathic & Osteopathic Physicians,Internal Medicine,Hospice and Palliative Medicine
133,1114934874,1770506446,25,11,0,1.0,CT,1.0,FL,207RH0002X,Allopathic & Osteopathic Physicians,Internal Medicine,Hospice and Palliative Medicine
134,1124097829,1770506446,187,13,6,2.0,CT,1.0,FL,207RH0002X,Allopathic & Osteopathic Physicians,Internal Medicine,Hospice and Palliative Medicine
135,1134223886,1770506446,346,83,65,1.0,CT,1.0,FL,207RH0002X,Allopathic & Osteopathic Physicians,Internal Medicine,Hospice and Palliative Medicine
136,1134357742,1770506446,49,14,7,1.0,CT,1.0,FL,207RH0002X,Allopathic & Osteopathic Physicians,Internal Medicine,Hospice and Palliative Medicine
137,1154509339,1770506446,325,81,42,1.0,OR,1.0,FL,207RH0002X,Allopathic & Osteopathic Physicians,Internal Medicine,Hospice and Palliative Medicine
138,1174515803,1770506446,101,16,4,1.0,CT,1.0,FL,207RH0002X,Allopathic & Osteopathic Physicians,Internal Medicine,Hospice and Palliative Medicine
139,1174569909,1770506446,225,42,2,2.0,CT,1.0,FL,207RH0002X,Allopathic & Osteopathic Physicians,Internal Medicine,Hospice and Palliative Medicine
140,1174596902,1770506446,246,61,33,1.0,CT,1.0,FL,207RH0002X,Allopathic & Osteopathic Physicians,Internal Medicine,Hospice and Palliative Medicine
141,1174624860,1770506446,58,23,18,1.0,CT,1.0,FL,207RH0002X,Allopathic & Osteopathic Physicians,Internal Medicine,Hospice and Palliative Medicine
142,1184721607,1770506446,90,11,9,1.0,CT,1.0,FL,207RH0002X,Allopathic & Osteopathic Physicians,Internal Medicine,Hospice and Palliative Medicine
143,1194717850,1770506446,96,11,8,1.0,CT,1.0,FL,207RH0002X,Allopathic & Osteopathic Physicians,Internal Medicine,Hospice and Palliative Medicine
144,1194744862,1770506446,64,12,9,1.0,CT,1.0,FL,207RH0002X,Allopathic & Osteopathic Physicians,Internal Medicine,Hospice and Palliative Medicine
145,1194997791,1770506446,44,14,13,2.0,CT,1.0,FL,207RH0002X,Allopathic & Osteopathic Physicians,Internal Medicine,Hospice and Palliative Medicine
146,1205873874,1770506446,108,31,11,1.0,GA,1.0,FL,207RH0002X,Allopathic & Osteopathic Physicians,Internal Medicine,Hospice and Palliative Medicine
147,1205930997,1770506446,323,90,60,1.0,CT,1.0,FL,207RH0002X,Allopathic & Osteopathic Physicians,Internal Medicine,Hospice and Palliative Medicine
148,1225148281,1770506446,49,13,4,1.0,CT,1.0,FL,207RH0002X,Allopathic & Osteopathic Physicians,Internal Medicine,Hospice and Palliative Medicine
149,1235123340,1770506446,544,14,11,1.0,CT,1.0,FL,207RH0002X,Allopathic & Osteopathic Physicians,Internal Medicine,Hospice and Palliative Medicine
150,1235469263,1770506446,280,37,8,1.0,CT,1.0,FL,207RH0002X,Allopathic & Osteopathic Physicians,Internal Medicine,Hospice and Palliative Medicine
151,1255432043,1770506446,87,24,25,1.0,CT,1.0,FL,207RH0002X,Allopathic & Osteopathic Physicians,Internal Medicine,Hospice and Palliative Medicine
152,1285895771,1770506446,95,21,4,1.0,NJ,1.0,FL,207RH0002X,Allopathic & Osteopathic Physicians,Internal Medicine,Hospice and Palliative Medicine
153,1295762102,1770506446,30,11,7,1.0,CT,1.0,FL,207RH0002X,Allopathic & Osteopathic Physicians,Internal Medicine,Hospice and Palliative Medicine
154,1295773265,1770506446,59,22,6,1.0,CT,1.0,FL,207RH0002X,Allopathic & Osteopathic Physicians,Internal Medicine,Hospice and Palliative Medicine
155,1306928445,1770506446,107,26,14,1.0,CT,1.0,FL,207RH0002X,Allopathic & Osteopathic Physicians,Internal Medicine,Hospice and Palliative Medicine
156,1306956354,1770506446,102,13,8,1.0,CT,1.0,FL,207RH0002X,Allopathic & Osteopathic Physicians,Internal Medicine,Hospice and Palliative Medicine
157,1316926660,1770506446,146,18,11,1.0,CT,1.0,FL,207RH0002X,Allopathic & Osteopathic Physicians,Internal Medicine,Hospice and Palliative Medicine
158,1326062597,1770506446,217,25,17,1.0,CT,1.0,FL,207RH0002X,Allopathic & Osteopathic Physicians,Internal Medicine,Hospice and Palliative Medicine
159,1326155110,1770506446,42,11,2,1.0,CT,1.0,FL,207RH0002X,Allopathic & Osteopathic Physicians,Internal Medicine,Hospice and Palliative Medicine
160,1336335108,1770506446,303,42,11,1.0,CT,1.0,FL,207RH0002X,Allopathic & Osteopathic Physicians,Internal Medicine,Hospice and Palliative Medicine
161,1356331425,1770506446,133,31,14,2.0,CT,1.0,FL,207RH0002X,Allopathic & Osteopathic Physicians,Internal Medicine,Hospice and Palliative Medicine
162,1356629695,1770506446,44,13,8,2.0,CT,1.0,FL,207RH0002X,Allopathic & Osteopathic Physicians,Internal Medicine,Hospice and Palliative Medicine
163,1366722399,1770506446,333,24,5,1.0,CT,1.0,FL,207RH0002X,Allopathic & Osteopathic Physicians,Internal Medicine,Hospice and Palliative Medicine
